REMARK ROI 2D Peak Detection System, File: ./ft/test001.ft2
REMARK Detection Levels: -911569 and 911569
REMARK Detection: X(+/-1) Y(+/-1)
REMARK Interpolation: X(+/-1) Y(+/-1)
REMARK Noise: 9889.92, Chi2-Threshold: 1.000000e-04, Local Adjustment: None
REMARK Position Tolerances: X(2.7) Y(3.4)
REMARK Sinc Detect ON, Height Adjustments: X(1.200) Y(1.800)
REMARK Sinc Detect Linewidths: X(15.0Hz) Y(0.0Hz)
REMARK Total Peaks: 76, Good Peaks: 73, Questionable Peaks: 3
REMARK Clusters: 73, Max Cluster Size: 2
REMARK ROI Spectral Axis Limits:

DATA  X_AXIS HN           1  1065    9.801ppm    5.793ppm
DATA  Y_AXIS N            1  1026  129.306ppm  103.669ppm

VARS   INDEX X_AXIS Y_AXIS DX DY X_PPM Y_PPM X_HZ Y_HZ XW YW XW_HZ YW_HZ X1 X3 Y1 Y3 HEIGHT DHEIGHT VOL PCHI2 TYPE ASS CLUSTID MEMCNT
FORMAT %5d %9.3f %9.3f %6.3f %6.3f %8.3f %8.3f %9.3f %9.3f %7.3f %7.3f %8.3f %8.3f %4d %4d %4d %4d %+e %+e %+e %.5f %d %s %4d %4d

  27   483.080   307.506  0.069  0.080    7.985  121.640  4792.309  7397.943   7.571   5.305   17.115    8.070  478  488  304  311  4.813050e+06  7.511940e+03  2.025841e+08 0.00000 1 None   24    1
  28   287.317   309.857  0.130  0.066    8.723  121.581  5234.843  7394.367   7.724   5.590   17.462    8.503  282  292  306  314  3.687421e+06  7.413838e+03  1.727916e+08 0.00000 1 None   25    1
  29   372.082   310.897  0.017  0.017    8.403  121.555  5043.227  7392.786   5.597   4.974   12.651    7.565  368  376  307  315  1.061371e+07  7.399814e+03  3.407635e+08 0.00000 1 None   26    1
  30   182.024   315.799  0.034  0.048    9.119  121.432  5472.863  7385.328   5.622   5.401   12.709    8.215  178  186  312  320  5.123384e+06  7.408112e+03  1.810259e+08 0.00000 1 None   27    1
  31   329.853   324.036  0.060  0.056    8.562  121.226  5138.688  7372.798   5.975   5.401   13.506    8.216  326  334  320  328  3.625468e+06  7.395016e+03  1.356856e+08 0.00000 1 None   28    1
  32   401.512   326.152  0.136  0.074    8.293  121.173  4976.697  7369.581   6.207   5.285   14.032    8.038  398  405  323  329  3.009130e+06  7.489052e+03  9.721308e+07 0.00000 1 None   29    1
  33   132.742   332.625  0.192  0.135    9.305  121.011  5584.268  7359.734   7.993   5.393   18.068    8.203  128  137  330  336  2.448577e+06  7.466466e+03  9.879193e+07 0.00000 1 None   30    1
  34   497.618   348.652  0.075  0.087    7.931  120.610  4759.444  7335.355   5.832   5.692   13.184    8.658  494  502  345  353  4.092990e+06  7.502906e+03  1.535604e+08 0.00000 1 None   31    1
  35   303.361   351.825  0.113  0.047    8.662  120.531  5198.574  7330.528   7.830   5.208   17.701    7.922  298  308  348  356  4.712839e+06  7.428199e+03  2.069227e+08 0.00000 1 None   32    1
  36   345.266   358.515  0.032  0.060    8.504  120.364  5103.845  7320.353   5.346   5.420   12.086    8.244  341  349  355  363  6.706345e+06  7.544726e+03  2.246152e+08 0.00000 1 None   33    1
  37   431.363   368.380  0.046  0.061    8.180  120.117  4909.219  7305.346   5.398   5.435   12.203    8.267  427  435  364  372  5.613564e+06  7.527311e+03  1.909445e+08 0.00000 1 None   34    1
  38   517.420   373.132  0.082  0.054    7.856  119.998  4714.680  7298.118   6.021   5.452   13.610    8.293  513  521  369  377  4.232390e+06  7.466169e+03  1.575271e+08 0.00000 1 None   35    1
  39   970.638   373.182  0.098  0.057    6.149  119.997  3690.155  7298.042   6.623   5.195   14.971    7.903  966  975  370  377  3.900488e+06  7.446046e+03  1.488251e+08 0.00000 1 None   36    1
  40   473.554   395.004  0.054  0.035    8.021  119.451  4813.843  7264.848   5.549   5.260   12.544    8.002  470  478  391  399  5.668925e+06  7.485309e+03  1.923528e+08 0.00000 1 None   37    1
  41   621.065   406.664  0.091  0.080    7.466  119.160  4480.385  7247.112   7.783   5.319   17.594    8.091  616  626  403  410  3.755213e+06  7.440454e+03  1.616798e+08 0.00000 1 None   38    1
  42   311.244   412.350  0.105  0.071    8.633  119.017  5180.755  7238.463   7.831   5.255   17.701    7.993  306  316  409  416  4.206712e+06  7.459892e+03  1.818158e+08 0.00000 1 None   39    1
  43   329.218   416.040  0.071  0.063    8.565  118.925  5140.124  7232.850   5.938   5.459   13.423    8.304  325  333  413  420  3.338740e+06  7.405894e+03  1.191389e+08 0.00000 1 None   40    1
  44   677.043   425.844  0.066  0.054    7.255  118.680  4353.845  7217.936   6.792   5.157   15.355    7.845  672  682  422  429  3.844240e+06  7.397128e+03  1.529047e+08 0.00000 1 None   41    1
  45   153.003   439.507  0.099  0.108    9.229  118.338  5538.467  7197.153   8.113   5.418   18.340    8.242  148  158  436  443  3.703935e+06  7.503005e+03  1.657922e+08 0.00000 1 None   42    1
  46   314.362   448.028  0.285  0.077    8.621  118.125  5173.707  7184.191   9.030   5.236   20.412    7.965  309  319  445  451  2.472810e+06  7.401992e+03  1.075250e+08 0.00000 1 None   43    1
  47   441.498   454.968  0.100  0.056    8.142  117.951  4886.308  7173.635   5.911   5.407   13.363    8.224  437  445  451  459  3.742206e+06  7.492574e+03  1.366322e+08 0.00000 1 None   44    1
  48   615.097   461.159  0.073  0.059    7.488  117.797  4493.877  7164.217   6.915   5.306   15.633    8.071  610  620  458  465  3.738923e+06  7.398370e+03  1.537164e+08 0.00000 1 None   45    1
  49   237.147   482.892  0.121  0.063    8.912  117.253  5348.255  7131.160   8.038   5.263   18.171    8.006  232  242  480  486  3.228648e+06  7.390786e+03  1.341065e+08 0.00000 1 None   46    1
  50   280.919   486.095  0.105  0.057    8.747  117.173  5249.305  7126.287   8.200   5.309   18.538    8.075  276  286  483  490  3.586804e+06  7.385215e+03  1.603785e+08 0.00000 1 None   47    1
  51   524.026   499.336  0.082  0.078    7.831  116.842  4699.748  7106.146   7.701   5.393   17.408    8.204  519  529  496  503  3.962975e+06  7.437640e+03  1.731766e+08 0.00000 1 None   48    1
  52   436.481   534.810  0.110  0.057    8.161  115.955  4897.648  7052.185   6.497   5.245   14.687    7.978  432  441  531  538  4.045195e+06  7.484668e+03  1.519330e+08 0.00000 1 None   49    1
  53   676.648   549.442  0.177  0.121    7.256  115.589  4354.736  7029.929   7.768   5.331   17.560    8.108  672  681  546  553  2.982021e+06  7.512035e+03  1.252561e+08 0.00000 1 None   50    1
  54   283.841   553.964  0.069  0.043    8.736  115.475  5242.701  7023.050   7.156   5.314   16.177    8.083  279  289  550  558  4.584962e+06  7.389414e+03  1.991696e+08 0.00000 1 None   51    1
  55   395.409   559.046  0.189  0.071    8.316  115.348  4990.494  7015.320   7.554   5.341   17.075    8.124  391  400  556  562  2.823582e+06  7.424675e+03  1.115623e+08 0.00000 1 None   52    1
  56   627.879   564.404  0.050  0.069    7.440  115.214  4464.981  7007.170   6.356   5.276   14.368    8.026  623  632  561  568  4.822585e+06  7.477005e+03  1.808041e+08 0.00000 1 None   53    1
  57   495.060   577.027  0.241  0.033    7.940  114.899  4765.227  6987.968   6.711   2.201   15.171    3.348  494  496  577  577 -1.038707e+06  7.461405e+03 -2.987456e+06 0.00000 3 None   54    1
  58   563.634   579.908  0.073  0.048    7.682  114.827  4610.211  6983.587   5.852   5.198   13.230    7.907  560  568  576  583  4.103810e+06  7.449942e+03  1.380979e+08 0.00000 1 None   55    1
  59   494.775   583.032  0.019  0.012    7.941  114.748  4765.872  6978.833   5.912   4.735   13.365    7.202  491  499  580  586  1.260453e+07  7.412306e+03  3.786164e+08 0.00000 1 None   56    1
  60   503.097   582.958  0.095  0.174    7.910  114.750  4747.060  6978.946   3.950   4.823    8.930    7.337  503  503  583  583 -9.386288e+05  7.423100e+03 -9.373678e+05 0.00000 1 None   57    1
  61   494.762   589.054  0.325  0.032    7.941  114.598  4765.902  6969.673   6.672   2.088   15.082    3.176  494  495  589  589 -9.725160e+05  7.497162e+03 -1.904180e+06 0.00000 3 None   58    1
  62   134.628   612.973  0.120  0.062    9.298  114.000  5580.005  6933.290   6.718   5.376   15.185    8.178  130  139  610  616  3.297621e+06  7.428472e+03  1.236277e+08 0.00000 1 None   59    1
  63   280.724   617.300  0.132  0.077    8.748  113.891  5249.746  6926.708   7.930   5.268   17.925    8.013  276  286  614  621  3.594966e+06  7.445513e+03  1.573348e+08 0.00000 1 None   60    1
  64   329.456   635.131  0.052  0.035    8.564  113.445  5139.585  6899.585   5.625   5.256   12.717    7.995  325  333  631  639  6.176580e+06  7.495485e+03  2.110451e+08 0.00000 1 None   61    1
  65   351.843   638.059  0.035  0.039    8.480  113.372  5088.978  6895.132   5.440   5.323   12.297    8.098  348  356  634  642  5.141724e+06  7.403241e+03  1.747036e+08 0.00000 1 None   62    1
  66   355.113   738.903  0.019  0.016    8.467  110.850  5081.584  6741.735   5.972   4.882   13.500    7.426  351  359  736  742  1.088011e+07  7.399805e+03  3.387791e+08 0.00000 1 None   63    1
  67   733.287   747.218  0.246  0.098    7.043  110.642  4226.701  6729.086   8.882   5.275   20.078    8.024  728  738  744  750  2.455652e+06  7.418610e+03  1.084549e+08 0.00000 1 None   64    1
  68   681.992   770.220  0.171  0.124    7.236  110.067  4342.656  6694.099   7.819   5.272   17.676    8.019  678  686  768  773  1.940199e+06  7.405517e+03  6.789390e+07 0.00000 1 None   65    1
  69   699.293   781.517  0.300  0.268    7.171  109.784  4303.545  6676.914   7.918   5.730   17.899    8.716  696  703  779  784  1.652776e+06  7.504266e+03  5.572709e+07 0.00000 1 None   66    1
  70   719.425   783.333  0.320  0.172    7.095  109.739  4258.037  6674.151   7.812   5.478   17.659    8.332  716  723  781  786  1.857172e+06  7.477402e+03  6.177971e+07 0.00000 1 None   67    1
  71   528.921   813.936  0.054  0.041    7.813  108.973  4688.681  6627.601   6.681   5.169   15.103    7.863  524  534  810  818  4.639638e+06  7.387704e+03  1.901235e+08 0.00000 1 None   68    1
  72   500.570   817.307  0.103  0.072    7.919  108.889  4752.771  6622.473   6.528   5.332   14.758    8.111  496  505  814  821  4.065214e+06  7.496211e+03  1.563955e+08 0.00000 1 None   69    1
  73   337.318   824.119  0.096  0.058    8.534  108.719  5121.812  6612.111   6.584   5.274   14.884    8.022  333  342  821  828  3.642346e+06  7.425493e+03  1.408176e+08 0.00000 1 None   70    1
  74   285.511   834.569  0.191  0.111    8.729  108.457  5238.925  6596.215   7.639   5.417   17.269    8.240  281  290  831  838  3.319678e+06  7.534060e+03  1.405052e+08 0.00000 1 None   71    1
  75   268.327   904.508  0.102  0.116    8.794  106.708  5277.771  6489.829   6.427   5.377   14.529    8.178  264  273  901  908  3.422447e+06  7.546201e+03  1.307158e+08 0.00000 1 None   72    1
  76   575.065   945.681  0.072  0.072    7.639  105.678  4584.372  6427.200   7.171   5.260   16.210    8.002  570  580  942  949  3.977611e+06  7.437422e+03  1.623516e+08 0.00000 1 None   73    1
