Atom_type,C,CA,CAm1,CB,CBm1,Cm1,H,HA,N
C,0.6567043570766591,0.12337212462065983,0.08999413628744646,-0.14468688662931709,-0.10749174004308383,0.15396499029345523,-0.019329613979979638,-0.01582810977811213,-0.19115322893487055
CA,0.12337212462065983,0.6464072931275221,0.06940590994964654,-0.1017577024477555,-0.07468103226297135,0.17526017305944314,0.0016694469389005415,-0.05668022241150964,0.13949921970251
CAm1,0.08999413628744646,0.06940590994964654,0.6424038587229901,-0.06077795989773133,-0.09608700627343739,0.1178820120815208,-0.027285099255429598,-0.00994581355989452,-0.1859793574775626
CB,-0.14468688662931709,-0.1017577024477555,-0.06077795989773133,0.655521598864957,0.09910759063320204,-0.11504091543011083,0.010143372159399896,0.03556760018024049,-0.008310160451476456
CBm1,-0.10749174004308383,-0.07468103226297135,-0.09608700627343739,0.09910759063320204,0.6715512331680321,-0.14647401658702727,0.04371384572028697,0.018527701915181022,0.14525569764028684
Cm1,0.15396499029345523,0.17526017305944314,0.1178820120815208,-0.11504091543011083,-0.14647401658702727,0.6532905955073932,-0.006370509859475617,-0.023248279335219883,-0.03628839816612061
H,-0.019329613979979638,0.0016694469389005415,-0.027285099255429598,0.010143372159399896,0.04371384572028697,-0.006370509859475617,0.11904106113598538,0.005149472934117499,0.2550660946663621
HA,-0.01582810977811213,-0.05668022241150964,-0.00994581355989452,0.03556760018024049,0.018527701915181022,-0.023248279335219883,0.005149472934117499,0.03891644190972273,0.0013714490380960977
N,-0.19115322893487055,0.13949921970251,-0.1859793574775626,-0.008310160451476456,0.14525569764028684,-0.03628839816612061,0.2550660946663621,0.0013714490380960977,3.588093826906144
