,C,Cm1,CAm1,H,CBm1,HA,N,CB,CA
C,0.9823805552509836,0.029773645558503054,0.004873342901025211,0.009759365829607168,-0.018730299812548507,0.014491304061772096,-0.12929758245865075,-0.04156279724805975,0.03655854376479143
Cm1,0.029773645558503054,0.9663548629924881,0.028940150449342852,0.06667331117586554,-0.04270281159305506,-0.001682152083707409,0.34152789935568545,-0.015290113871053381,0.13031750429981034
CAm1,0.004873342901025211,0.028940150449342852,0.7885279023671834,0.005484002774260726,0.01828487939063212,0.0016828112186434124,-0.05394284735861276,0.0020261463206353255,0.023392494094722962
H,0.009759365829607168,0.06667331117586554,0.005484002774260726,0.19000977990803247,0.0188528040096889,-8.91291129801099e-05,0.3626934340610619,-0.018132804249268445,0.03721451193836961
CBm1,-0.018730299812548507,-0.04270281159305506,0.01828487939063212,0.0188528040096889,1.0167218786498606,0.0007667773842806984,-0.11135964970136024,0.014525950929635597,-0.005979516466255906
HA,0.014491304061772096,-0.001682152083707409,0.0016828112186434124,-8.91291129801099e-05,0.0007667773842806984,0.04694971321011689,-0.035759557297821036,0.02104046213932382,-0.05805508775271229
N,-0.12929758245865075,0.34152789935568545,-0.05394284735861276,0.3626934340610619,-0.11135964970136024,-0.035759557297821036,5.412097637027826,-0.14558962802918035,0.3736552499505334
CB,-0.04156279724805975,-0.015290113871053381,0.0020261463206353255,-0.018132804249268445,0.014525950929635597,0.02104046213932382,-0.14558962802918035,0.9919761439125558,0.010111839434345057
CA,0.03655854376479143,0.13031750429981034,0.023392494094722962,0.03721451193836961,-0.005979516466255906,-0.05805508775271229,0.3736552499505334,0.010111839434345057,0.7938716099725435
